Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1a2nA02,320,0.0691344696969697,0.1488297864189041,0.9348223104172764,0.9113148698403278,0.0262750097125096
1a2nA02,348,0.0734700854700854,0.1473146524878188,0.931730018258792,0.896918031450104,0.0276068376068375
1a2nA02,379,0.0779285506160506,0.1385214812341824,0.9389582112699651,0.882773452684436,0.0135000485625486
1a2nA02,413,0.1175322940947941,0.1724639330895162,0.9096138633827022,0.8974836465348599,0.0104244852369851
1a2nA02,450,0.179659625097125,0.2417374358579399,0.7676138803982082,0.7262406410638826,0.0383714549339549
1a39A00,320,0.0564123781455452,0.1434357124666228,0.8550249961884485,0.6793049521855772,0.0404364089775561
1a39A00,348,0.0712854228066198,0.1404750373716434,0.8185244228264502,0.6624802087992563,0.0225436408977556
1a39A00,379,0.0908452178222519,0.1616443583513789,0.7157099025045742,0.6155263652809003,0.0107944462311451
1a39A00,413,0.0889084107912038,0.1538416519329488,0.6083863714323134,0.5668583393355979,0.015593969621401
1a39A00,450,0.072194913676053,0.0958654338903643,0.6293094338160113,0.6190508661032459,0.0477096976652489
1a3dA00,320,0.1205791407472079,0.1905444722078846,0.9019285722659048,0.8795803533307981,0.0394856124267889
1a3dA00,348,0.1266117477293948,0.1826147429438324,0.9037157957452736,0.8813287061681948,0.0128799762329174
1a3dA00,379,0.1739025549613785,0.224875433861293,0.8471079147481385,0.8744592638785899,0.0108627450980392
1a3dA00,413,0.1511211272387743,0.1894408850987193,0.8035534370232871,0.822578999872512,0.0173105848399965
1a3dA00,450,0.0962379254732196,0.1247717830838844,0.7625807034429941,0.7701821138375015,0.0295395127748069
1a48A01,320,0.0942133952133952,0.1737638877519332,0.8715287602905394,0.8301105269556336,0.0572679042679042
1a48A01,348,0.0981005551005551,0.156350337830789,0.8944653100954549,0.8037964448831387,0.016081991081991
1a48A01,379,0.1149936299936299,0.1657168848192513,0.8428915581988082,0.7962870584900805,0.0194014924014924
1a48A01,413,0.1105956995956996,0.1316618825178339,0.7653863919329479,0.8035933649620315,0.0605533195533195
1a48A01,450,0.0893418217371705,0.1091038292898224,0.6579449033489542,0.6354847792253601,0.0811728451495893
1a7gE00,320,0.066630450849963,0.1217948057856652,0.9470863479038184,0.8769171854490101,0.0132234540527224
1a7gE00,348,0.0529900612309892,0.0865628345101134,0.971740384424497,0.8230992990591661,0.0273805394816697
1a7gE00,379,0.0880537078098053,0.1193535601027339,0.9332417851812588,0.8740470834700741,0.0489544222714954
1a7gE00,413,0.0825544284920348,0.1064013892954042,0.8991805831147655,0.7614415258963598,0.0775599713200393
1a7gE00,450,0.1262466124661246,0.1471606913177205,0.8606367074718114,0.7657305754383017,0.1260275930032027
