Domain,Temperature,MAE,RMSE,Pearson,Spearman,HelixContentError
1a1zA00,320,0.1548562792395799,0.2107863724081911,0.8857881276404924,0.905839876986101,0.1105832378138345
1a1zA00,348,0.1483296823658269,0.1930747206515005,0.8859619989148616,0.908198473282124,0.0917469879518071
1a1zA00,379,0.2062320798344894,0.2583372419922218,0.7986751625173263,0.8586930759345303,0.1417409030059633
1a1zA00,413,0.1020983327248387,0.1232592478322552,0.8711108298534243,0.8406931472943084,0.0265031033223804
1a1zA00,450,0.1888335158817086,0.2220313747987015,0.9000447183232413,0.8611920081365259,0.1882749178532311
1a48A01,320,0.148013013013013,0.2192965952854136,0.7772937298067776,0.7246798279959248,0.0095789425789425
1a48A01,348,0.1503367913367913,0.2298178465450765,0.7380473413810008,0.6609386143438216,0.0116657566657566
1a48A01,379,0.1338768768768768,0.1965552422248624,0.7422528489886903,0.7298583035204677,0.0053474383474383
1a48A01,413,0.1101707551707551,0.1529738473540055,0.6019112211302091,0.7683786992581948,0.0493821483821483
1a48A01,450,0.0872738552505994,0.1078102380109991,0.6080906353893007,0.6240003474557696,0.0669386109153551
1a9vA00,320,0.0255560548356918,0.1212593206481659,0.7621857073254549,0.3132709139825603,0.0248318694603436
1a9vA00,348,0.0267195207892882,0.0957496110683077,0.9393938186047182,0.4955587692892123,0.0265503875968992
1a9vA00,379,0.0377050348445697,0.113957234727602,0.9229684476013132,0.4817095941576752,0.0377050348445697
1a9vA00,413,0.0372960390169692,0.1019377023427048,0.8226950972433031,0.666246804674886,0.0372325693255925
1a9vA00,450,0.0475342573016991,0.09876742759787,0.6201424677636856,0.5032171190995984,0.0460997572625479
1adnA00,320,0.1338537549407114,0.1881545229483704,0.8900385343995193,0.6632515949479729,0.0170059288537549
1adnA00,348,0.1066536770027278,0.1435684643630906,0.898177463213518,0.7164508939854023,0.0471274286032399
1adnA00,379,0.1098615221987314,0.1480828361894883,0.8363431669091983,0.7815010978832189,0.0613651785805476
1adnA00,413,0.1094021739130435,0.140270171079663,0.7500547508406756,0.5242445845009173,0.0805879446640316
1adnA00,450,0.0863870760180163,0.1050982447208572,0.7318211736910459,0.704418465639574,0.0827950638845482
1b4aA01,320,0.0860171283190597,0.1329640788601497,0.9535898904137922,0.9100646935441912,0.035097287418927
1b4aA01,348,0.0889078924841637,0.1187727491436398,0.9586331487311716,0.92435383773003,0.0222949837356616
1b4aA01,379,0.1066341379900702,0.1492566340235019,0.9165480328291988,0.9165705571898914,0.0476733436055469
1b4aA01,413,0.0674646464646464,0.0855315778453821,0.9442288369831606,0.92056243088703,0.0372092107515836
1b4aA01,450,0.132065570963876,0.1625239467390617,0.837945702627851,0.7930845347787231,0.1315909946926896
1b4rA00,320,0.0121422979797979,0.0276317530276322,0.7266227132543097,0.3624716097693394,0.0116650252525252
1b4rA00,348,0.0088465909090909,0.0181635561696291,0.3977434958078635,0.4235547524765481,0.0088352272727272
